x,y
280605.0,4870095.0
280635.0,4870095.0
280665.0,4870095.0
280695.0,4870095.0
280725.0,4870095.0
280755.0,4870095.0
280785.0,4870095.0
280815.0,4870095.0
280845.0,4870095.0
280875.0,4870095.0
280905.0,4870095.0
280455.0,4870065.0
280485.0,4870065.0
280515.0,4870065.0
280545.0,4870065.0
280575.0,4870065.0
280605.0,4870065.0
280635.0,4870065.0
280665.0,4870065.0
280695.0,4870065.0
280725.0,4870065.0
280755.0,4870065.0
280785.0,4870065.0
280815.0,4870065.0
280845.0,4870065.0
280875.0,4870065.0
280905.0,4870065.0
280455.0,4870035.0
280485.0,4870035.0
280515.0,4870035.0
280545.0,4870035.0
280575.0,4870035.0
280605.0,4870035.0
280635.0,4870035.0
280665.0,4870035.0
280695.0,4870035.0
280725.0,4870035.0
280755.0,4870035.0
280785.0,4870035.0
280815.0,4870035.0
280845.0,4870035.0
280875.0,4870035.0
280905.0,4870035.0
280455.0,4870005.0
280485.0,4870005.0
280515.0,4870005.0
280545.0,4870005.0
280575.0,4870005.0
280605.0,4870005.0
280635.0,4870005.0
280665.0,4870005.0
280695.0,4870005.0
280725.0,4870005.0
280755.0,4870005.0
280785.0,4870005.0
280815.0,4870005.0
280845.0,4870005.0
280875.0,4870005.0
280905.0,4870005.0
280455.0,4869975.0
280485.0,4869975.0
280515.0,4869975.0
280545.0,4869975.0
280575.0,4869975.0
280605.0,4869975.0
280635.0,4869975.0
280665.0,4869975.0
280695.0,4869975.0
280725.0,4869975.0
280755.0,4869975.0
280785.0,4869975.0
280815.0,4869975.0
280845.0,4869975.0
280875.0,4869975.0
280905.0,4869975.0
280455.0,4869945.0
280485.0,4869945.0
280515.0,4869945.0
280545.0,4869945.0
280575.0,4869945.0
280605.0,4869945.0
280635.0,4869945.0
280665.0,4869945.0
280695.0,4869945.0
280725.0,4869945.0
280755.0,4869945.0
280785.0,4869945.0
280815.0,4869945.0
280845.0,4869945.0
280875.0,4869945.0
280905.0,4869945.0
280455.0,4869915.0
280485.0,4869915.0
280515.0,4869915.0
280545.0,4869915.0
280575.0,4869915.0
280605.0,4869915.0
280635.0,4869915.0
280665.0,4869915.0
280695.0,4869915.0
280725.0,4869915.0
280755.0,4869915.0
280785.0,4869915.0
280815.0,4869915.0
280845.0,4869915.0
280875.0,4869915.0
280905.0,4869915.0
280455.0,4869885.0
280485.0,4869885.0
280515.0,4869885.0
280545.0,4869885.0
280575.0,4869885.0
280605.0,4869885.0
280635.0,4869885.0
280665.0,4869885.0
280695.0,4869885.0
280725.0,4869885.0
280755.0,4869885.0
280785.0,4869885.0
280815.0,4869885.0
280845.0,4869885.0
280875.0,4869885.0
280905.0,4869885.0
280455.0,4869855.0
280485.0,4869855.0
280515.0,4869855.0
280545.0,4869855.0
280575.0,4869855.0
280605.0,4869855.0
280635.0,4869855.0
280665.0,4869855.0
280695.0,4869855.0
280725.0,4869855.0
280755.0,4869855.0
280785.0,4869855.0
280815.0,4869855.0
280845.0,4869855.0
280875.0,4869855.0
280905.0,4869855.0
280455.0,4869825.0
280485.0,4869825.0
280515.0,4869825.0
280545.0,4869825.0
280575.0,4869825.0
280605.0,4869825.0
280635.0,4869825.0
280665.0,4869825.0
280695.0,4869825.0
280725.0,4869825.0
280755.0,4869825.0
280785.0,4869825.0
280815.0,4869825.0
280845.0,4869825.0
280875.0,4869825.0
280905.0,4869825.0
280455.0,4869795.0
280485.0,4869795.0
280515.0,4869795.0
280545.0,4869795.0
280575.0,4869795.0
280605.0,4869795.0
280635.0,4869795.0
280665.0,4869795.0
280695.0,4869795.0
280725.0,4869795.0
280755.0,4869795.0
280785.0,4869795.0
280815.0,4869795.0
280845.0,4869795.0
280875.0,4869795.0
280905.0,4869795.0
280455.0,4869765.0
280485.0,4869765.0
280515.0,4869765.0
280545.0,4869765.0
280575.0,4869765.0
280605.0,4869765.0
280635.0,4869765.0
280665.0,4869765.0
280695.0,4869765.0
280725.0,4869765.0
280755.0,4869765.0
280785.0,4869765.0
280815.0,4869765.0
280845.0,4869765.0
280875.0,4869765.0
280905.0,4869765.0
280455.0,4869735.0
280485.0,4869735.0
280515.0,4869735.0
280545.0,4869735.0
280575.0,4869735.0
280605.0,4869735.0
280635.0,4869735.0
280665.0,4869735.0
280695.0,4869735.0
280725.0,4869735.0
280755.0,4869735.0
280785.0,4869735.0
280815.0,4869735.0
280845.0,4869735.0
280875.0,4869735.0
280905.0,4869735.0
280455.0,4869705.0
280485.0,4869705.0
280515.0,4869705.0
280545.0,4869705.0
280575.0,4869705.0
280605.0,4869705.0
280635.0,4869705.0
280665.0,4869705.0
280695.0,4869705.0
280725.0,4869705.0
280755.0,4869705.0
280785.0,4869705.0
280815.0,4869705.0
280845.0,4869705.0
280875.0,4869705.0
280905.0,4869705.0
280455.0,4869675.0
280485.0,4869675.0
280515.0,4869675.0
280545.0,4869675.0
280575.0,4869675.0
280605.0,4869675.0
280635.0,4869675.0
280665.0,4869675.0
280695.0,4869675.0
280725.0,4869675.0
280755.0,4869675.0
280785.0,4869675.0
280815.0,4869675.0
280845.0,4869675.0
280875.0,4869675.0
280905.0,4869675.0
280455.0,4869645.0
280485.0,4869645.0
280515.0,4869645.0
280545.0,4869645.0
280575.0,4869645.0
280605.0,4869645.0
280635.0,4869645.0
280665.0,4869645.0
280695.0,4869645.0
280725.0,4869645.0
280755.0,4869645.0
280785.0,4869645.0
280815.0,4869645.0
280845.0,4869645.0
280875.0,4869645.0
280905.0,4869645.0
